word,bpe_result,correct_result,gold_suffix,is_correct,verdict,negation,mode
adaawesiiwaagobanen,adaawesiiwaagobanen,adaawe + siiwaagobanen,siiwaagobanen,False,Erase,Neg,DubPrt
adaawewaagobanen,adaawewaagobanen,adaawe + waagobanen,waagobanen,False,Erase,Pos,DubPrt
adaawesigwaa,adaawesigwaa,adaawe + sigwaa,sigwaa,False,Erase,Neg,Neu
adaawewaad,adaawewaad,adaawe + waad,waad,False,Erase,Pos,Neu
adaawesigwaaban,adaawesigwaaban,adaawe + sigwaaban,sigwaaban,False,Erase,Neg,Prt
adaawewaapan,adaawewaapan,adaawe + waapan,waapan,False,Erase,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiigwen,adaawesiigwen,adaawe + siigwen,siigwen,False,Erase,Neg,Dub
adaawegwen,adaawegwen,adaawe + gwen,gwen,False,Erase,Pos,Dub
adaawesiigobanen,adaawesiigobanen,adaawe + siigobanen,siigobanen,False,Erase,Neg,DubPrt
adaawegobanen,adaawegobanen,adaawe + gobanen,gobanen,False,Erase,Pos,DubPrt
adaawesig,adaawesig,adaawe + sig,sig,False,Erase,Neg,Neu
adaawed,adaawed,adaawe + d,d,False,Erase,Pos,Neu
adaawesigoban,adaawesigoban,adaawe + sigoban,sigoban,False,Erase,Neg,Prt
adaawepan,adaawepan,adaawe + pan,pan,False,Erase,Pos,Prt
adaawesiiwaangen,adaawesiiwaangen,adaawe + siiwaangen,siiwaangen,False,Erase,Neg,Dub
adaawewaangen,adaawewaangen,adaawe + waangen,waangen,False,Erase,Pos,Dub
adaawesiiwaangibanen,adaawesiiwaangibanen,adaawe + siiwaangibanen,siiwaangibanen,False,Erase,Neg,DubPrt
adaawewaangibanen,adaawewaangibanen,adaawe + waangibanen,waangibanen,False,Erase,Pos,DubPrt
adaawesiwaang,adaawesiwaang,adaawe + siwaang,siwaang,False,Erase,Neg,Neu
adaaweyaang,adaaweyaang,adaawe + yaang,yaang,False,Erase,Pos,Neu
adaawesiwaangiban,adaawesiwaangiban,adaawe + siwaangiban,siwaangiban,False,Erase,Neg,Prt
adaaweyaangiban,adaaweyaangiban,adaawe + yaangiban,yaangiban,False,Erase,Pos,Prt
adaawesiiwangen,adaawesiiwangen,adaawe + siiwangen,siiwangen,False,Erase,Neg,Dub
adaawewangen,adaawewangen,adaawe + wangen,wangen,False,Erase,Pos,Dub
adaawesiiwangibanen,adaawesiiwangibanen,adaawe + siiwangibanen,siiwangibanen,False,Erase,Neg,DubPrt
adaawewangibanen,adaawewangibanen,adaawe + wangibanen,wangibanen,False,Erase,Pos,DubPrt
adaawesiwang,adaawesiwang,adaawe + siwang,siwang,False,Erase,Neg,Neu
adaaweyang,adaaweyang,adaawe + yang,yang,False,Erase,Pos,Neu
adaaweying,adaaweying,adaawe + ying,ying,False,Erase,Pos,Neu
adaawesiwangiban,adaawesiwangiban,adaawe + siwangiban,siwangiban,False,Erase,Neg,Prt
adaaweyangoban,adaaweyangoban,adaawe + yangoban,yangoban,False,Erase,Pos,Prt
adaaweyangiban,adaaweyangiban,adaawe + yangiban,yangiban,False,Erase,Pos,Prt
adaaweyingoban,adaaweyingoban,adaawe + yingoban,yingoban,False,Erase,Pos,Prt
adaawesiiwiingen,adaawesiiwiingen,adaawe + siiwiingen,siiwiingen,False,Erase,Neg,Dub
adaawewiingen,adaawewiingen,adaawe + wiingen,wiingen,False,Erase,Pos,Dub
adaawesiiwiingibanen,adaawesiiwiingibanen,adaawe + siiwiingibanen,siiwiingibanen,False,Erase,Neg,DubPrt
adaawewiingibanen,adaawewiingibanen,adaawe + wiingibanen,wiingibanen,False,Erase,Pos,DubPrt
adaawesing,adaawesing,adaawe + sing,sing,False,Erase,Neg,Neu
adaaweng,adaaweng,adaawe + ng,ng,False,Erase,Pos,Neu
adaawesingiban,adaawesingiban,adaawe + singiban,singiban,False,Erase,Neg,Prt
adaawengiban,adaawengiban,adaawe + ngiban,ngiban,False,Erase,Pos,Prt
adaawesiiwaanen,adaawesiiwaanen,adaawe + siiwaanen,siiwaanen,False,Erase,Neg,Dub
adaawewaanen,adaawewaanen,adaawe + waanen,waanen,False,Erase,Pos,Dub
adaawesiiwaambaanen,adaawesiiwaambaanen,adaawe + siiwaambaanen,siiwaambaanen,False,Erase,Neg,DubPrt
adaawewaambaanen,adaawewaambaanen,adaawe + waambaanen,waambaanen,False,Erase,Pos,DubPrt
adaawesiwaan,adaawesiwaan,adaawe + siwaan,siwaan,False,Erase,Neg,Neu
adaaweyaan,adaaweyaan,adaawe + yaan,yaan,False,Erase,Pos,Neu
adaawesiwaambaan,adaawesiwaambaan,adaawe + siwaambaan,siwaambaan,False,Erase,Neg,Prt
adaaweyaambaan,adaaweyaambaan,adaawe + yaambaan,yaambaan,False,Erase,Pos,Prt
adaawesiiwegwen,adaawesiiwegwen,adaawe + siiwegwen,siiwegwen,False,Erase,Neg,Dub
adaawewegwen,adaawewegwen,adaawe + wegwen,wegwen,False,Erase,Pos,Dub
adaawesiiwegobanen,adaawesiiwegobanen,adaawe + siiwegobanen,siiwegobanen,False,Erase,Neg,DubPrt
adaawesiiwegibanen,adaawesiiwegibanen,adaawe + siiwegibanen,siiwegibanen,False,Erase,Neg,DubPrt
adaawewegobanen,adaawewegobanen,adaawe + wegobanen,wegobanen,False,Erase,Pos,DubPrt
adaawewegibanen,adaawewegibanen,adaawe + wegibanen,wegibanen,False,Erase,Pos,DubPrt
adaawesiweg,adaawesiweg,adaawe + siweg,siweg,False,Erase,Neg,Neu
adaaweyeg,adaaweyeg,adaawe + yeg,yeg,False,Erase,Pos,Neu
adaawesiwegoban,adaawesiwegoban,adaawe + siwegoban,siwegoban,False,Erase,Neg,Prt
adaawesiwegiban,adaawesiwegiban,adaawe + siwegiban,siwegiban,False,Erase,Neg,Prt
adaaweyegoban,adaaweyegoban,adaawe + yegoban,yegoban,False,Erase,Pos,Prt
adaaweyegiban,adaaweyegiban,adaawe + yegiban,yegiban,False,Erase,Pos,Prt
adaawesiiwanen,adaawesiiwanen,adaawe + siiwanen,siiwanen,False,Erase,Neg,Dub
adaawewanen,adaawewanen,adaawe + wanen,wanen,False,Erase,Pos,Dub
adaawesiiwambanen,adaawesiiwambanen,adaawe + siiwambanen,siiwambanen,False,Erase,Neg,DubPrt
adaawewambanen,adaawewambanen,adaawe + wambanen,wambanen,False,Erase,Pos,DubPrt
adaawesiwan,adaawesiwan,adaawe + siwan,siwan,False,Erase,Neg,Neu
adaaweyan,adaaweyan,adaawe + yan,yan,False,Erase,Pos,Neu
adaaweyin,adaaweyin,adaawe + yin,yin,False,Erase,Pos,Neu
adaawesiwamban,adaawesiwamban,adaawe + siwamban,siwamban,False,Erase,Neg,Prt
adaaweyamban,adaaweyamban,adaawe + yamban,yamban,False,Erase,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiiwaagwen,adaawesiiwaagwen,adaawe + siiwaagwen,siiwaagwen,False,Erase,Neg,Dub
adaawewaagwen,adaawewaagwen,adaawe + waagwen,waagwen,False,Erase,Pos,Dub
adaawesiiwaagobanen,adaawesiiwaagobanen,adaawe + siiwaagobanen,siiwaagobanen,False,Erase,Neg,DubPrt
adaawewaagobanen,adaawewaagobanen,adaawe + waagobanen,waagobanen,False,Erase,Pos,DubPrt
adaawesigwaa,adaawesigwaa,adaawe + sigwaa,sigwaa,False,Erase,Neg,Neu
adaawewaad,adaawewaad,adaawe + waad,waad,False,Erase,Pos,Neu
adaawesigwaaban,adaawesigwaaban,adaawe + sigwaaban,sigwaaban,False,Erase,Neg,Prt
adaawewaapan,adaawewaapan,adaawe + waapan,waapan,False,Erase,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiigwen,adaawesiigwen,adaawe + siigwen,siigwen,False,Erase,Neg,Dub
adaawegwen,adaawegwen,adaawe + gwen,gwen,False,Erase,Pos,Dub
adaawesiigobanen,adaawesiigobanen,adaawe + siigobanen,siigobanen,False,Erase,Neg,DubPrt
adaawegobanen,adaawegobanen,adaawe + gobanen,gobanen,False,Erase,Pos,DubPrt
adaawesig,adaawesig,adaawe + sig,sig,False,Erase,Neg,Neu
adaawed,adaawed,adaawe + d,d,False,Erase,Pos,Neu
adaawesigoban,adaawesigoban,adaawe + sigoban,sigoban,False,Erase,Neg,Prt
adaawepan,adaawepan,adaawe + pan,pan,False,Erase,Pos,Prt
adaawesiiwaangen,adaawesiiwaangen,adaawe + siiwaangen,siiwaangen,False,Erase,Neg,Dub
adaawewaangen,adaawewaangen,adaawe + waangen,waangen,False,Erase,Pos,Dub
adaawesiiwaangibanen,adaawesiiwaangibanen,adaawe + siiwaangibanen,siiwaangibanen,False,Erase,Neg,DubPrt
adaawewaangibanen,adaawewaangibanen,adaawe + waangibanen,waangibanen,False,Erase,Pos,DubPrt
adaawesiwaang,adaawesiwaang,adaawe + siwaang,siwaang,False,Erase,Neg,Neu
adaaweyaang,adaaweyaang,adaawe + yaang,yaang,False,Erase,Pos,Neu
adaawesiwaangiban,adaawesiwaangiban,adaawe + siwaangiban,siwaangiban,False,Erase,Neg,Prt
adaaweyaangiban,adaaweyaangiban,adaawe + yaangiban,yaangiban,False,Erase,Pos,Prt
adaawesiiwangen,adaawesiiwangen,adaawe + siiwangen,siiwangen,False,Erase,Neg,Dub
adaawewangen,adaawewangen,adaawe + wangen,wangen,False,Erase,Pos,Dub
adaawesiiwangibanen,adaawesiiwangibanen,adaawe + siiwangibanen,siiwangibanen,False,Erase,Neg,DubPrt
adaawewangibanen,adaawewangibanen,adaawe + wangibanen,wangibanen,False,Erase,Pos,DubPrt
adaawesiwang,adaawesiwang,adaawe + siwang,siwang,False,Erase,Neg,Neu
adaaweyang,adaaweyang,adaawe + yang,yang,False,Erase,Pos,Neu
adaaweying,adaaweying,adaawe + ying,ying,False,Erase,Pos,Neu
adaawesiwangiban,adaawesiwangiban,adaawe + siwangiban,siwangiban,False,Erase,Neg,Prt
adaaweyangoban,adaaweyangoban,adaawe + yangoban,yangoban,False,Erase,Pos,Prt
adaaweyangiban,adaaweyangiban,adaawe + yangiban,yangiban,False,Erase,Pos,Prt
adaaweyingoban,adaaweyingoban,adaawe + yingoban,yingoban,False,Erase,Pos,Prt
adaawesiiwiingen,adaawesiiwiingen,adaawe + siiwiingen,siiwiingen,False,Erase,Neg,Dub
adaawewiingen,adaawewiingen,adaawe + wiingen,wiingen,False,Erase,Pos,Dub
adaawesiiwiingibanen,adaawesiiwiingibanen,adaawe + siiwiingibanen,siiwiingibanen,False,Erase,Neg,DubPrt
adaawewiingibanen,adaawewiingibanen,adaawe + wiingibanen,wiingibanen,False,Erase,Pos,DubPrt
adaawesing,adaawesing,adaawe + sing,sing,False,Erase,Neg,Neu
adaaweng,adaaweng,adaawe + ng,ng,False,Erase,Pos,Neu
adaawesingiban,adaawesingiban,adaawe + singiban,singiban,False,Erase,Neg,Prt
adaawengiban,adaawengiban,adaawe + ngiban,ngiban,False,Erase,Pos,Prt
adaawesiiwaanen,adaawesiiwaanen,adaawe + siiwaanen,siiwaanen,False,Erase,Neg,Dub
adaawewaanen,adaawewaanen,adaawe + waanen,waanen,False,Erase,Pos,Dub
adaawesiiwaambaanen,adaawesiiwaambaanen,adaawe + siiwaambaanen,siiwaambaanen,False,Erase,Neg,DubPrt
adaawewaambaanen,adaawewaambaanen,adaawe + waambaanen,waambaanen,False,Erase,Pos,DubPrt
adaawesiwaan,adaawesiwaan,adaawe + siwaan,siwaan,False,Erase,Neg,Neu
adaaweyaan,adaaweyaan,adaawe + yaan,yaan,False,Erase,Pos,Neu
adaawesiwaambaan,adaawesiwaambaan,adaawe + siwaambaan,siwaambaan,False,Erase,Neg,Prt
adaaweyaambaan,adaaweyaambaan,adaawe + yaambaan,yaambaan,False,Erase,Pos,Prt
adaawesiiwegwen,adaawesiiwegwen,adaawe + siiwegwen,siiwegwen,False,Erase,Neg,Dub
adaawewegwen,adaawewegwen,adaawe + wegwen,wegwen,False,Erase,Pos,Dub
adaawesiiwegibanen,adaawesiiwegibanen,adaawe + siiwegibanen,siiwegibanen,False,Erase,Neg,DubPrt
adaawewegibanen,adaawewegibanen,adaawe + wegibanen,wegibanen,False,Erase,Pos,DubPrt
adaawesiweg,adaawesiweg,adaawe + siweg,siweg,False,Erase,Neg,Neu
adaaweyeg,adaaweyeg,adaawe + yeg,yeg,False,Erase,Pos,Neu
adaawesiwegiban,adaawesiwegiban,adaawe + siwegiban,siwegiban,False,Erase,Neg,Prt
adaaweyegoban,adaaweyegoban,adaawe + yegoban,yegoban,False,Erase,Pos,Prt
adaaweyegiban,adaaweyegiban,adaawe + yegiban,yegiban,False,Erase,Pos,Prt
adaawesiiwanen,adaawesiiwanen,adaawe + siiwanen,siiwanen,False,Erase,Neg,Dub
adaawewanen,adaawewanen,adaawe + wanen,wanen,False,Erase,Pos,Dub
adaawesiiwambanen,adaawesiiwambanen,adaawe + siiwambanen,siiwambanen,False,Erase,Neg,DubPrt
adaawewambanen,adaawewambanen,adaawe + wambanen,wambanen,False,Erase,Pos,DubPrt
adaawesiwan,adaawesiwan,adaawe + siwan,siwan,False,Erase,Neg,Neu
adaaweyan,adaaweyan,adaawe + yan,yan,False,Erase,Pos,Neu
adaaweyin,adaaweyin,adaawe + yin,yin,False,Erase,Pos,Neu
adaawesiwamban,adaawesiwamban,adaawe + siwamban,siwamban,False,Erase,Neg,Prt
adaaweyamban,adaaweyamban,adaawe + yamban,yamban,False,Erase,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiiwaagwen,adaawesiiwaagwen,adaawe + siiwaagwen,siiwaagwen,False,Erase,Neg,Dub
adaawewaagwen,adaawewaagwen,adaawe + waagwen,waagwen,False,Erase,Pos,Dub
adaawesiiwaagobanen,adaawesiiwaagobanen,adaawe + siiwaagobanen,siiwaagobanen,False,Erase,Neg,DubPrt
adaawewaagobanen,adaawewaagobanen,adaawe + waagobanen,waagobanen,False,Erase,Pos,DubPrt
adaawesigwaa,adaawesigwaa,adaawe + sigwaa,sigwaa,False,Erase,Neg,Neu
adaawewaad,adaawewaad,adaawe + waad,waad,False,Erase,Pos,Neu
adaawesigwaaban,adaawesigwaaban,adaawe + sigwaaban,sigwaaban,False,Erase,Neg,Prt
adaawewaapan,adaawewaapan,adaawe + waapan,waapan,False,Erase,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiigwen,adaawesiigwen,adaawe + siigwen,siigwen,False,Erase,Neg,Dub
adaawegwen,adaawegwen,adaawe + gwen,gwen,False,Erase,Pos,Dub
adaawesiigobanen,adaawesiigobanen,adaawe + siigobanen,siigobanen,False,Erase,Neg,DubPrt
adaawegobanen,adaawegobanen,adaawe + gobanen,gobanen,False,Erase,Pos,DubPrt
adaawesig,adaawesig,adaawe + sig,sig,False,Erase,Neg,Neu
adaawed,adaawed,adaawe + d,d,False,Erase,Pos,Neu
adaawesigoban,adaawesigoban,adaawe + sigoban,sigoban,False,Erase,Neg,Prt
adaawepan,adaawepan,adaawe + pan,pan,False,Erase,Pos,Prt
adaawesiiwaangen,adaawesiiwaangen,adaawe + siiwaangen,siiwaangen,False,Erase,Neg,Dub
adaawewaangen,adaawewaangen,adaawe + waangen,waangen,False,Erase,Pos,Dub
adaawesiiwaangibanen,adaawesiiwaangibanen,adaawe + siiwaangibanen,siiwaangibanen,False,Erase,Neg,DubPrt
adaawewaangibanen,adaawewaangibanen,adaawe + waangibanen,waangibanen,False,Erase,Pos,DubPrt
adaawesiwaang,adaawesiwaang,adaawe + siwaang,siwaang,False,Erase,Neg,Neu
adaaweyaang,adaaweyaang,adaawe + yaang,yaang,False,Erase,Pos,Neu
adaawesiwaangiban,adaawesiwaangiban,adaawe + siwaangiban,siwaangiban,False,Erase,Neg,Prt
adaaweyaangiban,adaaweyaangiban,adaawe + yaangiban,yaangiban,False,Erase,Pos,Prt
adaawesiiwangen,adaawesiiwangen,adaawe + siiwangen,siiwangen,False,Erase,Neg,Dub
adaawewangen,adaawewangen,adaawe + wangen,wangen,False,Erase,Pos,Dub
adaawesiiwangibanen,adaawesiiwangibanen,adaawe + siiwangibanen,siiwangibanen,False,Erase,Neg,DubPrt
adaawewangibanen,adaawewangibanen,adaawe + wangibanen,wangibanen,False,Erase,Pos,DubPrt
adaawesiwang,adaawesiwang,adaawe + siwang,siwang,False,Erase,Neg,Neu
adaaweyang,adaaweyang,adaawe + yang,yang,False,Erase,Pos,Neu
adaaweying,adaaweying,adaawe + ying,ying,False,Erase,Pos,Neu
adaawesiwangiban,adaawesiwangiban,adaawe + siwangiban,siwangiban,False,Erase,Neg,Prt
adaaweyangoban,adaaweyangoban,adaawe + yangoban,yangoban,False,Erase,Pos,Prt
adaaweyangiban,adaaweyangiban,adaawe + yangiban,yangiban,False,Erase,Pos,Prt
adaaweyingoban,adaaweyingoban,adaawe + yingoban,yingoban,False,Erase,Pos,Prt
adaawesiiwiingen,adaawesiiwiingen,adaawe + siiwiingen,siiwiingen,False,Erase,Neg,Dub
adaawewiingen,adaawewiingen,adaawe + wiingen,wiingen,False,Erase,Pos,Dub
adaawesiiwiingibanen,adaawesiiwiingibanen,adaawe + siiwiingibanen,siiwiingibanen,False,Erase,Neg,DubPrt
adaawewiingibanen,adaawewiingibanen,adaawe + wiingibanen,wiingibanen,False,Erase,Pos,DubPrt
adaawesing,adaawesing,adaawe + sing,sing,False,Erase,Neg,Neu
adaaweng,adaaweng,adaawe + ng,ng,False,Erase,Pos,Neu
adaawesingiban,adaawesingiban,adaawe + singiban,singiban,False,Erase,Neg,Prt
adaawengiban,adaawengiban,adaawe + ngiban,ngiban,False,Erase,Pos,Prt
adaawesiiwaanen,adaawesiiwaanen,adaawe + siiwaanen,siiwaanen,False,Erase,Neg,Dub
adaawewaanen,adaawewaanen,adaawe + waanen,waanen,False,Erase,Pos,Dub
adaawesiiwaambaanen,adaawesiiwaambaanen,adaawe + siiwaambaanen,siiwaambaanen,False,Erase,Neg,DubPrt
adaawewaambaanen,adaawewaambaanen,adaawe + waambaanen,waambaanen,False,Erase,Pos,DubPrt
adaawesiwaan,adaawesiwaan,adaawe + siwaan,siwaan,False,Erase,Neg,Neu
adaaweyaan,adaaweyaan,adaawe + yaan,yaan,False,Erase,Pos,Neu
adaawesiwaambaan,adaawesiwaambaan,adaawe + siwaambaan,siwaambaan,False,Erase,Neg,Prt
adaaweyaambaan,adaaweyaambaan,adaawe + yaambaan,yaambaan,False,Erase,Pos,Prt
adaawesiiwegwen,adaawesiiwegwen,adaawe + siiwegwen,siiwegwen,False,Erase,Neg,Dub
adaawewegwen,adaawewegwen,adaawe + wegwen,wegwen,False,Erase,Pos,Dub
adaawesiiwegobanen,adaawesiiwegobanen,adaawe + siiwegobanen,siiwegobanen,False,Erase,Neg,DubPrt
adaawesiiwegibanen,adaawesiiwegibanen,adaawe + siiwegibanen,siiwegibanen,False,Erase,Neg,DubPrt
adaawewegobanen,adaawewegobanen,adaawe + wegobanen,wegobanen,False,Erase,Pos,DubPrt
adaawewegibanen,adaawewegibanen,adaawe + wegibanen,wegibanen,False,Erase,Pos,DubPrt
adaawesiweg,adaawesiweg,adaawe + siweg,siweg,False,Erase,Neg,Neu
adaaweyeg,adaaweyeg,adaawe + yeg,yeg,False,Erase,Pos,Neu
adaawesiwegoban,adaawesiwegoban,adaawe + siwegoban,siwegoban,False,Erase,Neg,Prt
adaawesiwegiban,adaawesiwegiban,adaawe + siwegiban,siwegiban,False,Erase,Neg,Prt
adaaweyegoban,adaaweyegoban,adaawe + yegoban,yegoban,False,Erase,Pos,Prt
adaaweyegiban,adaaweyegiban,adaawe + yegiban,yegiban,False,Erase,Pos,Prt
adaawesiiwanen,adaawesiiwanen,adaawe + siiwanen,siiwanen,False,Erase,Neg,Dub
adaawewanen,adaawewanen,adaawe + wanen,wanen,False,Erase,Pos,Dub
adaawesiiwambanen,adaawesiiwambanen,adaawe + siiwambanen,siiwambanen,False,Erase,Neg,DubPrt
