Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,DubPrt,Neg,adaawesiiwegobanen,<<adaawe>>siiwegobanen,JDN-2010-MS-VTI-p40,adaawesiiwegibanen,<<adaawe>>siiwegibanen,JDN-2010-MS-VTI-p40,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,DubPrt,Pos,adaawewegobanen,<<adaawe>>wegobanen,JDN-2010-MS-VTI-p39,adaawewegibanen,<<adaawe>>wegibanen,JDN-2010-MS-VTI-p39,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Neu,Neg,adaawesiweg,<<adaawe>>siweg,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Neu,Pos,adaaweyeg,<<adaawe>>yeg,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Prt,Neg,adaawesiwegoban,<<adaawe>>siwegoban,JDN-2010-MS-VTI-p32,adaawesiwegiban,<<adaawe>>siwegiban,JDN-2010-MS-VTI-p32,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Prt,Pos,adaaweyegoban,<<adaawe>>yegoban,JDN-2010-MS-VTI-p31,adaaweyegiban,<<adaawe>>yegiban,JDN-2010-MS-VTI-p31,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Dub,Neg,adaawesiiwanen,<<adaawe>>siiwanen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Dub,Pos,adaawewanen,<<adaawe>>wanen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,DubPrt,Neg,adaawesiiwambanen,<<adaawe>>siiwambanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,DubPrt,Pos,adaawewambanen,<<adaawe>>wambanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Neu,Neg,adaawesiwan,<<adaawe>>siwan,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Neu,Pos,adaaweyan,<<adaawe>>yan,JDN-2010-MS-VTI-p27,adaaweyin,<<adaawe>>yin,ES-OPD,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Prt,Neg,adaawesiwamban,<<adaawe>>siwamban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Prt,Pos,adaaweyamban,<<adaawe>>yamban,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Dub,Neg,adaawesiinigwen,<<adaawe>>siinigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Dub,Pos,adaawenigwen,<<adaawe>>nigwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,DubPrt,Neg,adaawesiinigobanen,<<adaawe>>siinigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,DubPrt,Pos,adaawenigobanen,<<adaawe>>nigobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Neu,Neg,adaawesinid,<<adaawe>>sinid,GUESS,adaawesinig,<<adaawe>>sinig,JDN-2010-MS-VTI-p28,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Neu,Pos,adaawenid,<<adaawe>>nid,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Prt,Neg,adaawesinigoban,<<adaawe>>sinigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0PlObj,Prt,Pos,adaawenipan,<<adaawe>>nipan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Dub,Neg,adaawesiiwaagwen,<<adaawe>>siiwaagwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Dub,Pos,adaawewaagwen,<<adaawe>>waagwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,DubPrt,Neg,adaawesiiwaagobanen,<<adaawe>>siiwaagobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,DubPrt,Pos,adaawewaagobanen,<<adaawe>>waagobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Neu,Neg,adaawesigwaa,<<adaawe>>sigwaa,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Neu,Pos,adaawewaad,<<adaawe>>waad,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Prt,Neg,adaawesigwaaban,<<adaawe>>sigwaaban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0PlObj,Prt,Pos,adaawewaapan,<<adaawe>>waapan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Dub,Neg,adaawesiinigwen,<<adaawe>>siinigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Dub,Pos,adaawenigwen,<<adaawe>>nigwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,DubPrt,Neg,adaawesiinigobanen,<<adaawe>>siinigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,DubPrt,Pos,adaawenigobanen,<<adaawe>>nigobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Neu,Neg,adaawesinid,<<adaawe>>sinid,GUESS,adaawesinig,<<adaawe>>sinig,JDN-2010-MS-VTI-p28,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Neu,Pos,adaawenid,<<adaawe>>nid,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Prt,Neg,adaawesinigoban,<<adaawe>>sinigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0PlObj,Prt,Pos,adaawenipan,<<adaawe>>nipan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Dub,Neg,adaawesiigwen,<<adaawe>>siigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Dub,Pos,adaawegwen,<<adaawe>>gwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,DubPrt,Neg,adaawesiigobanen,<<adaawe>>siigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,DubPrt,Pos,adaawegobanen,<<adaawe>>gobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Neu,Neg,adaawesig,<<adaawe>>sig,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Neu,Pos,adaawed,<<adaawe>>d,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Prt,Neg,adaawesigoban,<<adaawe>>sigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0PlObj,Prt,Pos,adaawepan,<<adaawe>>pan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Dub,Neg,adaawesiiwaangen,<<adaawe>>siiwaangen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Dub,Pos,adaawewaangen,<<adaawe>>waangen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,DubPrt,Neg,adaawesiiwaangibanen,<<adaawe>>siiwaangibanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,DubPrt,Pos,adaawewaangibanen,<<adaawe>>waangibanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Neu,Neg,adaawesiwaang,<<adaawe>>siwaang,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Neu,Pos,adaaweyaang,<<adaawe>>yaang,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Prt,Neg,adaawesiwaangiban,<<adaawe>>siwaangiban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Prt,Pos,adaaweyaangiban,<<adaawe>>yaangiban,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Dub,Neg,adaawesiiwangen,<<adaawe>>siiwangen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Dub,Pos,adaawewangen,<<adaawe>>wangen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,DubPrt,Neg,adaawesiiwangibanen,<<adaawe>>siiwangibanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,DubPrt,Pos,adaawewangibanen,<<adaawe>>wangibanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Neu,Neg,adaawesiwang,<<adaawe>>siwang,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Neu,Pos,adaaweyang,<<adaawe>>yang,JDN-2010-MS-VTI-p27,adaaweying,<<adaawe>>ying,ES-OPD,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Prt,Neg,adaawesiwangiban,<<adaawe>>siwangiban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Prt,Pos,adaaweyangoban,<<adaawe>>yangoban,GUESS,adaaweyangiban,<<adaawe>>yangiban,JDN-2010-MS-VTI-p31,adaaweyingoban,<<adaawe>>yingoban,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Dub,Neg,adaawesiiwiingen,<<adaawe>>siiwiingen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Dub,Pos,adaawewiingen,<<adaawe>>wiingen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,DubPrt,Neg,adaawesiiwiingibanen,<<adaawe>>siiwiingibanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,DubPrt,Pos,adaawewiingibanen,<<adaawe>>wiingibanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Neu,Neg,adaawesing,<<adaawe>>sing,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Neu,Pos,adaaweng,<<adaawe>>ng,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Prt,Neg,adaawesingiban,<<adaawe>>singiban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,XSubj,0PlObj,Prt,Pos,adaawengiban,<<adaawe>>ngiban,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Dub,Neg,adaawesiiwaanen,<<adaawe>>siiwaanen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Dub,Pos,adaawewaanen,<<adaawe>>waanen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,DubPrt,Neg,adaawesiiwaambaanen,<<adaawe>>siiwaambaanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,DubPrt,Pos,adaawewaambaanen,<<adaawe>>waambaanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Neu,Neg,adaawesiwaan,<<adaawe>>siwaan,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Neu,Pos,adaaweyaan,<<adaawe>>yaan,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Prt,Neg,adaawesiwaambaan,<<adaawe>>siwaambaan,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Prt,Pos,adaaweyaambaan,<<adaawe>>yaambaan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Dub,Neg,adaawesiiwegwen,<<adaawe>>siiwegwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Dub,Pos,adaawewegwen,<<adaawe>>wegwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,DubPrt,Neg,adaawesiiwegobanen,<<adaawe>>siiwegobanen,JDN-2010-MS-VTI-p40,adaawesiiwegibanen,<<adaawe>>siiwegibanen,JDN-2010-MS-VTI-p40,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,DubPrt,Pos,adaawewegobanen,<<adaawe>>wegobanen,JDN-2010-MS-VTI-p39,adaawewegibanen,<<adaawe>>wegibanen,JDN-2010-MS-VTI-p39,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Neu,Neg,adaawesiweg,<<adaawe>>siweg,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Neu,Pos,adaaweyeg,<<adaawe>>yeg,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Prt,Neg,adaawesiwegoban,<<adaawe>>siwegoban,JDN-2010-MS-VTI-p32,adaawesiwegiban,<<adaawe>>siwegiban,JDN-2010-MS-VTI-p32,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Prt,Pos,adaaweyegoban,<<adaawe>>yegoban,JDN-2010-MS-VTI-p31,adaaweyegiban,<<adaawe>>yegiban,JDN-2010-MS-VTI-p31,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Dub,Neg,adaawesiiwanen,<<adaawe>>siiwanen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Dub,Pos,adaawewanen,<<adaawe>>wanen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,DubPrt,Neg,adaawesiiwambanen,<<adaawe>>siiwambanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,DubPrt,Pos,adaawewambanen,<<adaawe>>wambanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Neu,Neg,adaawesiwan,<<adaawe>>siwan,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Neu,Pos,adaaweyan,<<adaawe>>yan,JDN-2010-MS-VTI-p27,adaaweyin,<<adaawe>>yin,ES-OPD,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Prt,Neg,adaawesiwamban,<<adaawe>>siwamban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Prt,Pos,adaaweyamban,<<adaawe>>yamban,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Dub,Neg,adaawesiinigwen,<<adaawe>>siinigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Dub,Pos,adaawenigwen,<<adaawe>>nigwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,DubPrt,Neg,adaawesiinigobanen,<<adaawe>>siinigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,DubPrt,Pos,adaawenigobanen,<<adaawe>>nigobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Neu,Neg,adaawesinid,<<adaawe>>sinid,GUESS,adaawesinig,<<adaawe>>sinig,JDN-2010-MS-VTI-p28,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Neu,Pos,adaawenid,<<adaawe>>nid,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Prt,Neg,adaawesinigoban,<<adaawe>>sinigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlObvSubj,0SgObj,Prt,Pos,adaawenipan,<<adaawe>>nipan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Dub,Neg,adaawesiiwaagwen,<<adaawe>>siiwaagwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Dub,Pos,adaawewaagwen,<<adaawe>>waagwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,DubPrt,Neg,adaawesiiwaagobanen,<<adaawe>>siiwaagobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,DubPrt,Pos,adaawewaagobanen,<<adaawe>>waagobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Neu,Neg,adaawesigwaa,<<adaawe>>sigwaa,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Neu,Pos,adaawewaad,<<adaawe>>waad,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Prt,Neg,adaawesigwaaban,<<adaawe>>sigwaaban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3PlProxSubj,0SgObj,Prt,Pos,adaawewaapan,<<adaawe>>waapan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Dub,Neg,adaawesiinigwen,<<adaawe>>siinigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Dub,Pos,adaawenigwen,<<adaawe>>nigwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,DubPrt,Neg,adaawesiinigobanen,<<adaawe>>siinigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,DubPrt,Pos,adaawenigobanen,<<adaawe>>nigobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Neu,Neg,adaawesinid,<<adaawe>>sinid,GUESS,adaawesinig,<<adaawe>>sinig,JDN-2010-MS-VTI-p28,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Neu,Pos,adaawenid,<<adaawe>>nid,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Prt,Neg,adaawesinigoban,<<adaawe>>sinigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgObvSubj,0SgObj,Prt,Pos,adaawenipan,<<adaawe>>nipan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Dub,Neg,adaawesiigwen,<<adaawe>>siigwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Dub,Pos,adaawegwen,<<adaawe>>gwen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,DubPrt,Neg,adaawesiigobanen,<<adaawe>>siigobanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,DubPrt,Pos,adaawegobanen,<<adaawe>>gobanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Neu,Neg,adaawesig,<<adaawe>>sig,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Neu,Pos,adaawed,<<adaawe>>d,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Prt,Neg,adaawesigoban,<<adaawe>>sigoban,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Prt,Pos,adaawepan,<<adaawe>>pan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0SgObj,Dub,Neg,adaawesiiwaangen,<<adaawe>>siiwaangen,JDN-2010-MS-VTI-p36,,,,,,
